review_id,review_text,rating,date,platform,helpful_count,review_length
d2861a6b-d50b-4084-bf7c-456dc912f847,I love this game so much I can't express 😍😍😍,5,2025-05-27 23:37:54,google_play,0,44
5e752fc4-1cbd-4262-aea0-15dcafe27ad6,Please optimize :3,3,2025-05-27 22:59:05,google_play,0,18
526ce95f-db01-469c-98ec-b75f251702eb,Fix the lag I use ip 12 but my phone keep lagging even though it can handle alot of game,1,2025-05-27 22:56:55,google_play,0,88
b997d021-935e-400f-ab30-5bbf71890f26,greatt yehhheyyy,5,2025-05-27 22:41:27,google_play,0,16
46f597ac-ecb9-480b-838d-9cb736be1d9c,edit: kuro seems to be losing the plot each day a little more,1,2025-05-27 22:29:24,google_play,18,61
e435d510-8b3e-4cd7-af01-19cf4926c5f3,"I'm giving up, the upgrade in graphics killed the performance.",1,2025-05-27 22:26:56,google_play,0,62
27c6ea1b-e14c-47e3-8409-320ee62aa23c,Absolute Cinema,5,2025-05-27 22:20:32,google_play,0,15
3db4d949-2c55-4f22-9844-a0154fe61324,the animation is really good I like it,5,2025-05-27 22:16:42,google_play,0,38
3fca92b0-6308-4b5e-9957-08db9fba09f4,i got 2 five stars when i got back,5,2025-05-27 21:52:45,google_play,0,34
b616a623-64b3-477a-a718-761eb2cbcf1a,"граю з першого дня. чудова гра, і з кожним оновленням стає ще краща",5,2025-05-27 21:48:45,google_play,0,67
6111ad00-1aad-4ce0-a430-4a14e46ff320,very enjoyable game and good graphics and nice combo,5,2025-05-27 21:41:10,google_play,0,52
f0adb8e6-61ed-4d1c-a46d-4ad214e07de6,¡QUE VIVAN LAS WAIFUS!,5,2025-05-27 21:21:11,google_play,0,22
8e5cc1a9-d7ee-4ba2-aa3f-719b5d11e2b6,"very good game, but my device sucks ahahaha",4,2025-05-27 21:06:04,google_play,0,43
cab4baa8-7bf9-42de-aee8-87a8c919a624,perfect,5,2025-05-27 21:05:45,google_play,0,7
48b8a3c7-12a7-4011-87d6-7f028ed6ea92,I love it it's a great game,5,2025-05-27 20:28:21,google_play,0,27
c8dfc4a1-5280-427d-af5c-44508ee26e98,to be honest its just like genshin i uninstalled already not for me,5,2025-05-27 20:22:07,google_play,0,67
cb9c7913-e346-4f84-a531-58fa1c43f551,TOO HAREM!,2,2025-05-27 20:18:40,google_play,0,10
f65f0480-0c07-4419-a0b7-70940e275c7e,"If the game was a little more optimized, it would have been 10/10.",5,2025-05-27 19:46:36,google_play,0,66
7f6888d2-8bbf-4e1d-9a47-e07b951b1c16,From 5 to 1 star. 1st anniversary was a big let down.,1,2025-05-27 19:45:26,google_play,1,53
653996ad-9ddf-451e-b666-a1ae78a67957,crazy coooll asf,5,2025-05-27 19:44:11,google_play,0,16
e46e9890-09d5-40e2-bb2e-1233b73b8fdd,"I understand that they wanted to make a more stylish game, both visual and gameplay wise by using Unreal Engine. However, it's very demanding on phones compared to Unity (the one Genshin uses), so the optimization needs work. Wish they fix it because so far, everything else is great.",4,2025-05-27 19:44:03,google_play,6,284
113f1df0-2796-47cc-88b3-e7157566bbed,I really like the combat style and design. The story is the best and a good storyline,5,2025-05-27 19:41:40,google_play,0,85
e1588de3-ce70-499c-8a18-a85015fccfcd,"It came so far but with the direction they're going, they're really starting to isolate their older playerbase especially with the direction they're going for character designs. Story is great but they're really going full-throttle pandering to a specific audience and it's just not worth it anymore. You seriously can't open with a male resonator and have this male-female ratio right now. Cantarella was robbed of her elegance and upcoming characters will be too. No class.",2,2025-05-27 19:21:06,google_play,0,475
3ddf7857-fa3f-4fab-8b7a-8a30001b7f0b,"Started off great with balanced character representation and amazing gameplay. I was genuinely excited about where Wuthering Waves was headed. But now it’s clear the game is shifting into the usual waifu-first gacha formula. Back-to-back female banners, sidelined male characters, and female kits tailored to be good and unique. Feels like the early balance was just a marketing tactic. A bit disappointing for players who were hoping for lasting variety and fair representation.",1,2025-05-27 19:12:52,google_play,0,479
